"Spot","Maturity","Strike","Interest_rate","Mid","Bid","Ask"
39.63,0.049315,36,0.000631752,3.75,3.7,3.8
39.63,0.049315,38,0.000631752,2.145,2.13,2.16
39.63,0.049315,40,0.000631752,1.035,1.02,1.05
39.63,0.049315,42,0.000631752,0.435,0.42,0.45
39.63,0.049315,44,0.000631752,0.17,0.16,0.18
39.63,0.1260273,36,0.000707312,4.3,4.25,4.35
39.63,0.1260273,38,0.000707312,2.91,2.89,2.93
39.63,0.1260273,40,0.000707312,1.85,1.84,1.86
39.63,0.1260273,42,0.000707312,1.095,1.08,1.11
39.63,0.1260273,44,0.000707312,0.615,0.61,0.62
39.63,0.3753424,36,0.000734416,5.55,5.5,5.6
39.63,0.3753424,38,0.000734416,4.35,4.3,4.4
39.63,0.3753424,40,0.000734416,3.35,3.3,3.4
39.63,0.3753424,42,0.000734416,2.55,2.53,2.57
39.63,0.3753424,44,0.000734416,1.92,1.9,1.94
39.63,0.6246575,36,0.000796417,6.475,6.4,6.55
39.63,0.6246575,38,0.000796417,5.35,5.3,5.4
39.63,0.6246575,40,0.000796417,4.4,4.35,4.45
39.63,0.6246575,42,0.000796417,3.6,3.55,3.65
39.63,0.6246575,44,0.000796417,2.92,2.89,2.95
39.63,0.8739726,36,0.00088234,7.775,7.7,7.85
39.63,0.8739726,38,0.00088234,6.675,6.6,6.75
39.63,0.8739726,40,0.00088234,5.25,5.2,5.3
39.63,0.8739726,42,0.00088234,4.425,4.35,4.5
39.63,0.8739726,44,0.00088234,3.425,3.35,3.5
39.63,1.8684931,36,0.002280481,10.125,9.95,10.3
39.63,1.8684931,38,0.002280481,9.2,9.05,9.35
39.63,1.8684931,40,0.002280481,7.85,7.75,7.95
39.63,1.8684931,42,0.002280481,7.1,7,7.2
39.63,1.8684931,44,0.002280481,6.1,5.95,6.25
